id_partido,Date,Equipo_local,Equipo_visitante,FTR,Prediccion,Prob_H,Prob_D,Prob_A
9742,2026-02-21,Betis,Vallecano,D,H,0.37212289065118453,0.3447587611069909,0.2831183482418246
9743,2026-02-21,Osasuna,Real Madrid,H,A,0.17689980571835945,0.29558707737976664,0.527513116901874
9744,2026-02-21,Ath Madrid,Espanol,H,H,0.4385724150434114,0.3677222333986521,0.19370535155793644
9745,2026-02-22,Getafe,Sevilla,A,D,0.31705572606047094,0.37800602170051484,0.3049382522390143
9746,2026-02-22,Barcelona,Levante,H,H,0.659989009608969,0.1811807921944732,0.15883019819655778
9747,2026-02-22,Celta,Mallorca,H,H,0.3700963957188695,0.34832705288215393,0.2815765513989766
9748,2026-02-22,Villarreal,Valencia,H,H,0.40231087131886367,0.3485677489797268,0.2491213797014094
9749,2026-02-23,Alaves,Girona,D,D,0.3195166707117109,0.37317818662868385,0.30730514265960523
9750,2026-02-27,Levante,Alaves,H,D,0.29180767346653563,0.3901885042044958,0.3180038223289686
9751,2026-02-28,Vallecano,Ath Bilbao,D,D,0.33414608566502724,0.33438570693125713,0.3314682074037157
9752,2026-02-28,Barcelona,Villarreal,H,H,0.5613847612463724,0.2566507363125733,0.18196450244105436
9753,2026-02-28,Mallorca,Sociedad,A,A,0.244244551347823,0.3495797195739763,0.40617572907820076
9754,2026-02-28,Oviedo,Ath Madrid,A,A,0.20567638994221601,0.32943904570003757,0.4648845643577463
9755,2026-03-01,Elche,Espanol,D,D,0.3066363088855299,0.36729655077204426,0.3260671403424259
9756,2026-03-01,Valencia,Osasuna,H,D,0.31596678448180354,0.3705986186625815,0.313434596855615
9757,2026-03-01,Betis,Sevilla,D,H,0.38304432907279445,0.3545510850250461,0.2624045859021594
9758,2026-03-01,Girona,Celta,A,D,0.3173961071079505,0.3615967472998636,0.32100714559218596
9759,2026-03-02,Real Madrid,Getafe,A,H,0.5613847612463724,0.2566507363125733,0.18196450244105436
9760,2026-03-04,Vallecano,Oviedo,H,H,0.4078414844484861,0.3401542116355486,0.25200430391596534
9761,2026-03-06,Celta,Real Madrid,A,A,0.24780338819201367,0.3452872828150274,0.40690932899295895
9762,2026-03-07,Osasuna,Mallorca,D,H,0.393816047195089,0.33587325109281724,0.2703107017120938
9763,2026-03-07,Levante,Girona,D,A,0.24674275372819823,0.35315531985963805,0.40010192641216363
9764,2026-03-07,Ath Madrid,Sociedad,H,H,0.4064244221029898,0.3443560161155769,0.24921956178143334
9765,2026-03-07,Ath Bilbao,Barcelona,A,A,0.1831022967915671,0.23829471950401016,0.5786029837044228
9766,2026-03-08,Villarreal,Elche,H,H,0.4822692538673775,0.2591329606621019,0.2585977854705206
9767,2026-03-08,Getafe,Betis,H,D,0.29284559445822916,0.38801948601198827,0.31913491952978257
