id_partido,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,temporada
62,2000-10-28,Mallorca,Barcelona,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
63,2000-10-28,Numancia,La Coruna,1,2,A,0,2,A,,,,,,,,,,,,,,,,0001
64,2000-10-28,Villarreal,Ath Bilbao,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
65,2000-10-28,Zaragoza,Malaga,1,1,D,0,0,D,,,,,,,,,,,,,,,,0001
66,2000-10-29,Celta,Valladolid,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
67,2000-10-29,Espanol,Oviedo,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
68,2000-10-29,Osasuna,Valencia,1,2,A,1,1,D,,,,,,,,,,,,,,,,0001
69,2000-10-29,Sociedad,Real Madrid,1,4,A,0,2,A,,,,,,,,,,,,,,,,0001
70,2000-10-29,Vallecano,Alaves,0,1,A,0,1,A,,,,,,,,,,,,,,,,0001
71,2000-10-31,La Coruna,Las Palmas,4,0,H,1,0,H,,,,,,,,,,,,,,,,0001
72,2000-11-01,Alaves,Sociedad,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
73,2000-11-01,Ath Bilbao,Zaragoza,1,2,A,0,1,A,,,,,,,,,,,,,,,,0001
74,2000-11-01,Barcelona,Numancia,1,1,D,0,0,D,,,,,,,,,,,,,,,,0001
75,2000-11-01,Malaga,Osasuna,3,1,H,2,1,H,,,,,,,,,,,,,,,,0001
76,2000-11-01,Oviedo,Vallecano,4,1,H,2,1,H,,,,,,,,,,,,,,,,0001
77,2000-11-01,Real Madrid,Mallorca,0,2,A,0,0,D,,,,,,,,,,,,,,,,0001
78,2000-11-01,Santander,Villarreal,3,1,H,2,0,H,,,,,,,,,,,,,,,,0001
79,2000-11-01,Valencia,Celta,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
80,2000-11-01,Valladolid,Espanol,1,1,D,0,1,A,,,,,,,,,,,,,,,,0001
81,2000-11-04,Celta,Malaga,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
82,2000-11-04,Espanol,Valencia,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
83,2000-11-04,Las Palmas,Barcelona,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
84,2000-11-04,Numancia,Real Madrid,3,1,H,2,1,H,,,,,,,,,,,,,,,,0001
85,2000-11-04,Villarreal,La Coruna,3,2,H,1,1,D,,,,,,,,,,,,,,,,0001
86,2000-11-05,Alaves,Oviedo,4,0,H,2,0,H,,,,,,,,,,,,,,,,0001
87,2000-11-05,Osasuna,Ath Bilbao,1,1,D,0,1,A,,,,,,,,,,,,,,,,0001
88,2000-11-05,Sociedad,Mallorca,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
89,2000-11-05,Vallecano,Valladolid,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
90,2000-11-05,Zaragoza,Santander,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
91,2000-11-11,La Coruna,Zaragoza,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
92,2000-11-12,Ath Bilbao,Celta,2,1,H,1,1,D,,,,,,,,,,,,,,,,0001
93,2000-11-12,Barcelona,Villarreal,1,2,A,1,1,D,,,,,,,,,,,,,,,,0001
94,2000-11-12,Malaga,Espanol,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
95,2000-11-12,Mallorca,Numancia,2,1,H,2,0,H,,,,,,,,,,,,,,,,0001
96,2000-11-12,Oviedo,Sociedad,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
97,2000-11-12,Real Madrid,Las Palmas,5,1,H,2,1,H,,,,,,,,,,,,,,,,0001
98,2000-11-12,Santander,Osasuna,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
99,2000-11-12,Valencia,Vallecano,2,2,D,0,1,A,,,,,,,,,,,,,,,,0001
100,2000-11-12,Valladolid,Alaves,2,1,H,0,0,D,,,,,,,,,,,,,,,,0001
101,2000-11-18,Alaves,Valencia,1,1,D,0,0,D,,,,,,,,,,,,,,,,0001
102,2000-11-18,Las Palmas,Mallorca,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
103,2000-11-18,Osasuna,La Coruna,1,1,D,1,1,D,,,,,,,,,,,,,,,,0001
104,2000-11-18,Villarreal,Real Madrid,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
105,2000-11-19,Celta,Santander,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
106,2000-11-19,Espanol,Ath Bilbao,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
107,2000-11-19,Oviedo,Valladolid,4,1,H,1,0,H,,,,,,,,,,,,,,,,0001
108,2000-11-19,Sociedad,Numancia,4,1,H,3,0,H,,,,,,,,,,,,,,,,0001
109,2000-11-19,Vallecano,Malaga,4,2,H,2,1,H,,,,,,,,,,,,,,,,0001
110,2000-11-19,Zaragoza,Barcelona,3,1,H,1,0,H,,,,,,,,,,,,,,,,0001
111,2000-11-25,Mallorca,Villarreal,2,1,H,0,1,A,,,,,,,,,,,,,,,,0001
112,2000-11-26,Ath Bilbao,Vallecano,4,2,H,3,1,H,,,,,,,,,,,,,,,,0001
113,2000-11-26,Barcelona,Osasuna,2,0,H,0,0,D,,,,,,,,,,,,,,,,0001
114,2000-11-26,La Coruna,Celta,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
115,2000-11-26,Malaga,Alaves,3,1,H,2,0,H,,,,,,,,,,,,,,,,0001
116,2000-11-26,Numancia,Las Palmas,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
117,2000-11-26,Santander,Espanol,1,2,A,0,1,A,,,,,,,,,,,,,,,,0001
118,2000-11-26,Valencia,Oviedo,2,0,H,0,0,D,,,,,,,,,,,,,,,,0001
119,2000-11-26,Valladolid,Sociedad,2,1,H,2,0,H,,,,,,,,,,,,,,,,0001
120,2000-12-02,Celta,Barcelona,3,3,D,3,1,H,,,,,,,,,,,,,,,,0001
121,2000-12-02,Espanol,La Coruna,0,2,A,0,0,D,,,,,,,,,,,,,,,,0001
122,2000-12-02,Osasuna,Real Madrid,2,3,A,1,1,D,,,,,,,,,,,,,,,,0001
123,2000-12-02,Vallecano,Santander,4,1,H,1,1,D,,,,,,,,,,,,,,,,0001
124,2000-12-02,Valladolid,Valencia,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
125,2000-12-03,Alaves,Ath Bilbao,2,1,H,0,1,A,,,,,,,,,,,,,,,,0001
126,2000-12-03,Oviedo,Malaga,3,2,H,1,2,A,,,,,,,,,,,,,,,,0001
127,2000-12-03,Sociedad,Las Palmas,1,1,D,0,0,D,,,,,,,,,,,,,,,,0001
128,2000-12-03,Villarreal,Numancia,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
129,2000-12-03,Zaragoza,Mallorca,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
130,2000-12-09,Las Palmas,Villarreal,1,5,A,0,2,A,,,,,,,,,,,,,,,,0001
131,2000-12-09,Numancia,Zaragoza,1,1,D,1,1,D,,,,,,,,,,,,,,,,0001
132,2000-12-09,Valencia,Sociedad,2,0,H,0,0,D,,,,,,,,,,,,,,,,0001
133,2000-12-10,Ath Bilbao,Oviedo,4,0,H,0,0,D,,,,,,,,,,,,,,,,0001
134,2000-12-10,Barcelona,Espanol,4,2,H,2,0,H,,,,,,,,,,,,,,,,0001
135,2000-12-10,La Coruna,Vallecano,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
136,2000-12-10,Malaga,Valladolid,3,1,H,1,0,H,,,,,,,,,,,,,,,,0001
137,2000-12-10,Mallorca,Osasuna,1,1,D,0,1,A,,,,,,,,,,,,,,,,0001
138,2000-12-10,Real Madrid,Celta,3,0,H,2,0,H,,,,,,,,,,,,,,,,0001
139,2000-12-10,Santander,Alaves,2,1,H,0,0,D,,,,,,,,,,,,,,,,0001
140,2000-12-16,Alaves,La Coruna,3,1,H,2,1,H,,,,,,,,,,,,,,,,0001
141,2000-12-16,Espanol,Real Madrid,1,2,A,1,2,A,,,,,,,,,,,,,,,,0001
142,2000-12-16,Sociedad,Villarreal,0,2,A,0,1,A,,,,,,,,,,,,,,,,0001
143,2000-12-16,Vallecano,Barcelona,2,2,D,1,1,D,,,,,,,,,,,,,,,,0001
144,2000-12-16,Zaragoza,Las Palmas,3,1,H,0,0,D,,,,,,,,,,,,,,,,0001
145,2000-12-17,Celta,Mallorca,2,2,D,1,1,D,,,,,,,,,,,,,,,,0001
146,2000-12-17,Osasuna,Numancia,2,0,H,0,0,D,,,,,,,,,,,,,,,,0001
147,2000-12-17,Oviedo,Santander,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
148,2000-12-17,Valencia,Malaga,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
149,2000-12-17,Valladolid,Ath Bilbao,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
150,2000-12-19,Real Madrid,Vallecano,3,1,H,2,0,H,,,,,,,,,,,,,,,,0001
151,2000-12-20,Ath Bilbao,Valencia,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
152,2000-12-20,Barcelona,Alaves,3,2,H,1,0,H,,,,,,,,,,,,,,,,0001
153,2000-12-20,La Coruna,Oviedo,3,0,H,1,0,H,,,,,,,,,,,,,,,,0001
154,2000-12-20,Las Palmas,Osasuna,3,2,H,0,0,D,,,,,,,,,,,,,,,,0001
155,2000-12-20,Malaga,Sociedad,3,0,H,2,0,H,,,,,,,,,,,,,,,,0001
156,2000-12-20,Mallorca,Espanol,3,2,H,1,2,A,,,,,,,,,,,,,,,,0001
157,2000-12-20,Numancia,Celta,4,2,H,2,1,H,,,,,,,,,,,,,,,,0001
158,2000-12-20,Santander,Valladolid,2,2,D,2,1,H,,,,,,,,,,,,,,,,0001
159,2000-12-20,Villarreal,Zaragoza,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
160,2001-01-06,Malaga,Ath Bilbao,2,1,H,2,0,H,,,,,,,,,,,,,,,,0001
161,2001-01-07,Alaves,Real Madrid,1,3,A,1,1,D,,,,,,,,,,,,,,,,0001
162,2001-01-07,Celta,Las Palmas,0,1,A,0,1,A,,,,,,,,,,,,,,,,0001
163,2001-01-07,Espanol,Numancia,2,0,H,2,0,H,,,,,,,,,,,,,,,,0001
164,2001-01-07,Osasuna,Villarreal,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
165,2001-01-07,Oviedo,Barcelona,2,3,A,0,2,A,,,,,,,,,,,,,,,,0001
166,2001-01-07,Sociedad,Zaragoza,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
167,2001-01-07,Vallecano,Mallorca,2,2,D,2,1,H,,,,,,,,,,,,,,,,0001
168,2001-01-07,Valencia,Santander,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
169,2001-01-07,Valladolid,La Coruna,3,1,H,0,0,D,,,,,,,,,,,,,,,,0001
170,2001-01-13,Barcelona,Valladolid,3,1,H,0,0,D,,,,,,,,,,,,,,,,0001
171,2001-01-13,La Coruna,Valencia,2,0,H,0,0,D,,,,,,,,,,,,,,,,0001
172,2001-01-14,Las Palmas,Espanol,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
173,2001-01-14,Mallorca,Alaves,4,3,H,1,0,H,,,,,,,,,,,,,,,,0001
174,2001-01-14,Numancia,Vallecano,0,2,A,0,1,A,,,,,,,,,,,,,,,,0001
175,2001-01-14,Real Madrid,Oviedo,4,0,H,1,0,H,,,,,,,,,,,,,,,,0001
176,2001-01-14,Sociedad,Ath Bilbao,0,2,A,0,1,A,,,,,,,,,,,,,,,,0001
177,2001-01-14,Santander,Malaga,0,1,A,0,1,A,,,,,,,,,,,,,,,,0001
178,2001-01-14,Villarreal,Celta,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
179,2001-01-14,Zaragoza,Osasuna,4,2,H,3,2,H,,,,,,,,,,,,,,,,0001
180,2001-01-20,Valencia,Barcelona,0,1,A,0,1,A,,,,,,,,,,,,,,,,0001
181,2001-01-21,Alaves,Numancia,0,2,A,0,1,A,,,,,,,,,,,,,,,,0001
182,2001-01-21,Ath Bilbao,Santander,3,1,H,1,0,H,,,,,,,,,,,,,,,,0001
183,2001-01-21,Celta,Zaragoza,1,1,D,1,1,D,,,,,,,,,,,,,,,,0001
184,2001-01-21,Espanol,Villarreal,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
185,2001-01-21,Malaga,La Coruna,1,3,A,1,1,D,,,,,,,,,,,,,,,,0001
186,2001-01-21,Osasuna,Sociedad,1,1,D,0,0,D,,,,,,,,,,,,,,,,0001
187,2001-01-21,Oviedo,Mallorca,1,1,D,0,1,A,,,,,,,,,,,,,,,,0001
188,2001-01-21,Vallecano,Las Palmas,1,1,D,1,1,D,,,,,,,,,,,,,,,,0001
189,2001-01-21,Valladolid,Real Madrid,2,2,D,1,1,D,,,,,,,,,,,,,,,,0001
190,2001-01-24,Real Madrid,Zaragoza,3,0,H,0,0,D,,,,,,,,,,,,,,,,0001
191,2001-01-27,Ath Bilbao,La Coruna,2,2,D,1,2,A,,,,,,,,,,,,,,,,0001
192,2001-01-27,Espanol,Zaragoza,5,0,H,3,0,H,,,,,,,,,,,,,,,,0001
193,2001-01-27,Malaga,Barcelona,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
194,2001-01-28,Alaves,Las Palmas,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
195,2001-01-28,Celta,Osasuna,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
196,2001-01-28,Oviedo,Numancia,3,0,H,1,0,H,,,,,,,,,,,,,,,,0001
197,2001-01-28,Vallecano,Villarreal,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
198,2001-01-28,Santander,Sociedad,1,4,A,1,2,A,,,,,,,,,,,,,,,,0001
199,2001-01-28,Valencia,Real Madrid,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
200,2001-01-28,Valladolid,Mallorca,2,0,H,2,0,H,,,,,,,,,,,,,,,,0001
201,2001-02-03,Barcelona,Ath Bilbao,7,0,H,6,0,H,,,,,,,,,,,,,,,,0001
202,2001-02-04,La Coruna,Santander,2,1,H,2,1,H,,,,,,,,,,,,,,,,0001
203,2001-02-04,Las Palmas,Oviedo,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
204,2001-02-04,Mallorca,Valencia,2,2,D,1,0,H,,,,,,,,,,,,,,,,0001
205,2001-02-04,Numancia,Valladolid,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
206,2001-02-04,Osasuna,Espanol,1,3,A,0,3,A,,,,,,,,,,,,,,,,0001
207,2001-02-04,Real Madrid,Malaga,4,3,H,3,2,H,,,,,,,,,,,,,,,,0001
208,2001-02-04,Sociedad,Celta,2,2,D,1,0,H,,,,,,,,,,,,,,,,0001
209,2001-02-04,Villarreal,Alaves,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
210,2001-02-04,Zaragoza,Vallecano,6,1,H,2,0,H,,,,,,,,,,,,,,,,0001
211,2001-02-10,Ath Bilbao,Real Madrid,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
212,2001-02-10,La Coruna,Sociedad,4,1,H,3,0,H,,,,,,,,,,,,,,,,0001
213,2001-02-10,Espanol,Celta,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
214,2001-02-10,Vallecano,Osasuna,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
215,2001-02-10,Valencia,Numancia,3,0,H,2,0,H,,,,,,,,,,,,,,,,0001
216,2001-02-11,Alaves,Zaragoza,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
217,2001-02-11,Malaga,Mallorca,0,1,A,0,1,A,,,,,,,,,,,,,,,,0001
218,2001-02-11,Oviedo,Villarreal,1,3,A,1,0,H,,,,,,,,,,,,,,,,0001
219,2001-02-11,Santander,Barcelona,4,0,H,1,0,H,,,,,,,,,,,,,,,,0001
220,2001-02-11,Valladolid,Las Palmas,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
221,2001-02-17,Barcelona,La Coruna,2,3,A,2,1,H,,,,,,,,,,,,,,,,0001
222,2001-02-17,Las Palmas,Valencia,0,2,A,0,1,A,,,,,,,,,,,,,,,,0001
223,2001-02-17,Real Madrid,Santander,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
